name,developer,publisher,release date,rating,24hour-peak-user,
RollerCoaster Tycoon 2: Triple Thrill Pack,Store Name RollerCoaster Tycoon® 2: Triple Thrill Pack,"Developer
Chris Sawyer Productions","May 21, 2014 ??15:40:18 UTC (6 years ago)",? 83,231,
PIPE,Store Name PIPE by BMX Streets,"Developer
Mash Games","March 15, 2018 ??07:40:38 UTC (2 years ago)",? 87,227,
Pharaoh + Cleopatra,Impressions Games,Activision,"December 15, 2016 ??17:00:00 UTC (3 years ago)",? 81,203,
Winter Resort Simulator,HR Innoways,Aerosoft GmbH,"December 12, 2019 ??09:01:19 UTC (about a month ago)",??72,214,
Trainz Railroad Simulator 2019,N3V Games,N3V Games,"January 8, 2019 ??05:48:00 UTC (about a year ago)",??58,201,
Wasteland Survival,"Joyloft Co., Limited","Joyloft Co., Limited","June 4, 2019 ??06:11:39 UTC (7 months ago)",? 56,201,
Prominence Poker,Pipeworks Studio,505 Games,"December 13, 2016 ??00:35:06 UTC (3 years ago)",? 79,210,
Borderlands GOTY,Store Name Borderlands Game of the Year,"Developer
Gearbox Software",NULL,? 87,199,
Tactical Monsters Rumble Arena,Camex Games,Camex Games,"February 1, 2018 ??05:02:12 UTC (2 years ago)",? 86,223,
Idle Space Raider,Coconut Shavers,Coconut Shavers,"February 5, 2019 ??16:21:41 UTC (11 months ago)",??68,213,
WWE 2K20,Visual Concepts,2K,"October 21, 2019 ??23:00:00 UTC (3 months ago)",? 34,198,
Animal Jam - Play Wild!,"WildWorks, Inc.","WildWorks, Inc.","December 11, 2018 ??19:04:31 UTC (about a year ago)",? 37,211,
Pharaoh + Cleopatra,Impressions Games,Activision,"December 15, 2016 ??17:00:00 UTC (3 years ago)",? 81,203,
We Were Here Together,Total Mayhem Games,Total Mayhem Games,"October 10, 2019 ??13:54:36 UTC (3 months ago)",? 86,200,
?�叽??��??Kaki Raid,Kaki Studio,Feiyu Technology,"September 26, 2019 ??02:58:19 UTC (4 months ago)",??75,276,
Terminator: Resistance,Teyon,Reef Entertainment,"November 14, 2019 ??17:32:31 UTC (2 months ago)",? 89,199,
Battle for Wesnoth,The Battle for Wesnoth Project,Wesnoth Inc.,"May 2, 2018 ??00:55:25 UTC (2 years ago)",? 89,200,
3DMark Demo,Last Known Name 3DMark,"Developer
UL","February 4, 2013 ??18:03:00 UTC (7 years ago)",198,216,
Wasteland Survival,"Joyloft Co., Limited","Joyloft Co., Limited","June 4, 2019 ??06:11:39 UTC (7 months ago)",? 56,201,
Idle Space Raider,Coconut Shavers,Coconut Shavers,"February 5, 2019 ??16:21:41 UTC (11 months ago)",??68,213,
Liftoff,Store Name Liftoff: FPV Drone Racing,"Developer
LuGus Studios","September 13, 2018 ??09:26:42 UTC (about a year ago)",? 84,216,
Orwell,Store Name Orwell: Keeping an Eye On You,"Developer
Osmotic Studios","October 27, 2016 ??14:58:00 UTC (3 years ago)",? 88,214,
Borderlands GOTY,Store Name Borderlands Game of the Year,"Developer
Gearbox Software",NULL,? 87,199,
LEGO® The Lord of the Rings??Traveller's Tales,Warner Bros. Interactive Entertainment,NULL,? 85,203,,
Hearts of Iron III,Paradox Development Studio,Paradox Interactive,"August 7, 2009 ??07:00:00 UTC (10 years ago)",? 74,219,
The Fisherman - Fishing Planet,Fishing Planet LLC,Bigben Interactive,NULL,??73,200,
GUNS UP!,"Valkyrie Entertainment, LLC","PlayStation Mobile, Inc.",NULL,? 65,217,
Legends of Aria,Citadel Studios Inc,Citadel Studios Inc,"August 6, 2019 ??19:30:00 UTC (5 months ago)",? 58,204,
Worms Armageddon,Team17 Digital Ltd,Team17 Digital Ltd,NULL,? 90,252,
Sid Meier's Civilization IV: Warlords,Store Name Civilization IV®: Warlords,"Developer
Firaxis Games","April 6, 2007 ??07:00:00 UTC (13 years ago)",??79,195,
Worms Revolution,Team17 Digital Ltd,Team17 Digital Ltd,"October 10, 2012 ??17:00:00 UTC (7 years ago)",? 82,210,
Soul at Stake,Store Name ?�魂筹码 Soul at Stake,"Developer
Chongming Studio","June 26, 2018 ??01:59:00 UTC (2 years ago)",? 75,270,
Thief,Eidos-Montréal,Square Enix,"February 28, 2014 (6 years ago)",? 70,193,
Freddy Fazbear's Pizzeria Simulator,Scott Cawthon,Scott Cawthon,"December 4, 2017 ??21:17:05 UTC (2 years ago)",? 90,191,
Bad North,Store Name Bad North: Jotunn Edition,"Developer
Plausible Concept","November 16, 2018 ??16:00:18 UTC (about a year ago)",? 83,191,
Fallout 2,Store Name Fallout 2: A Post Nuclear Role Playing Game,"Developer
Black Isle Studios","August 19, 2009 ??07:00:00 UTC (10 years ago)",? 90,195,
Fell Seal: Arbiter's Mark,6 Eyes Studio,1C Entertainment,"April 30, 2019 ??16:59:44 UTC (9 months ago)",? 88,190,
Supraland,Supra Games,Supra Games,"April 5, 2019 ??09:14:13 UTC (9 months ago)",? 93,207,
Discord Bot Maker,Robert Borghese,Robert Borghese,"August 21, 2017 ??16:01:16 UTC (2 years ago)",? 81,196,
MotoGP??9,Milestone S.r.l.,Milestone S.r.l.,"June 6, 2019 ??07:04:34 UTC (7 months ago)",? 82,192,
Borderlands GOTY,Store Name Borderlands Game of the Year,"Developer
Gearbox Software",NULL,? 87,199,
King's Bounty: The Legend,1C Entertainment,1C Entertainment,"May 1, 2009 ??19:00:00 UTC (11 years ago)",? 86,191,
Discord Bot Maker,Robert Borghese,Robert Borghese,"August 21, 2017 ??16:01:16 UTC (2 years ago)",? 81,196,
Football Manager 2011,Sports Interactive,SEGA,NULL,189,194,
Ultra Street Fighter IV,Store Name Ultra Street Fighter® IV,"Developer
Capcom","August 7, 2014 (5 years ago)",? 85,227,
King's Bounty: Warriors of the North,1C-SoftClub,1C Entertainment,"October 26, 2012 (7 years ago)",? 78,190,
Call of Duty: Ghosts - Multiplayer,Last Known Name Call of Duty®: Ghosts,"Developer
Infinity Ward",NULL,188,197,
Mortal Kombat Komplete Edition,NetherRealm Studios,Warner Bros. Interactive Entertainment,"July 3, 2013 (7 years ago)",? 87,188,
CrossCode,Radical Fish Games,Deck13,"September 21, 2018 ??06:00:00 UTC (about a year ago)",? 91,191,
MONMUSU,Tentacle Games,NEKO WORKs,"May 12, 2018 ??00:22:36 UTC (2 years ago)",? 76,191,
R.U.S.E,"Last Known Name R.U.S.E.??""Developer",,,,,
"Eugen Systems""","September 9, 2010 ??23:00:00 UTC (9 years ago)",186,205,,,
Runes of Magic,Runewaker Entertainment,"Gameforge 4D GmbH??""August 29"," 2018 ??07:55:31 UTC (about a year ago)""",??54,235,
Risen 3 - Titan Lords,Piranha Bytes,Deep Silver,NULL,? 69,185,
BlazBlue Centralfiction,Arc System Works,"H2 Interactive Co., Ltd.","April 26, 2017 ??06:49:00 UTC (3 years ago)",? 87,208,
FortressCraft Evolved,Store Name FortressCraft Evolved!,"Developer
ProjectorGames","November 9, 2015 ??17:03:00 UTC (4 years ago)",? 71,185,
MEDIEVAL: Total War??- Gold Edition,Store Name Medieval: Total War??- Collection,"Developer
CREATIVE ASSEMBLY","June 25, 2015 ??17:00:00 UTC (5 years ago)",? 65,188,
Booty Calls,3X Entertainment Limited,3X Entertainment Limited,"September 18, 2018 ??23:45:20 UTC (about a year ago)",? 49,192,
Shadow Warrior 2,Flying Wild Hog,Devolver Digital,"October 13, 2016 ??14:53:00 UTC (3 years ago)",? 86,201,
Prime World,Nival,Nival,"March 31, 2014 ??16:47:00 UTC (6 years ago)",? 57,198,
You Need A Budget 4 (YNAB),Last Known Name You Need a Budget 4,"Developer
YouNeedABudget.com",NULL,184,206,
"Warhammer 40,000: Mechanicus",Bulwark Studios,Kasedo Games,"November 15, 2018 ??17:59:53 UTC (about a year ago)",? 86,184,
Quantum Break,Remedy Entertainment,Microsoft Studios,"September 29, 2016 ??15:57:11 UTC (3 years ago)",? 82,193,
Dead In Vinland,CCCP,Dear Villagers,"April 12, 2018 ??15:02:17 UTC (2 years ago)",? 75,218,
Medieval Engineers,Keen Software House,Keen Software House,"February 19, 2015 ??17:59:04 UTC (5 years ago)",? 66,183,
Wild West Saga,Store Name Wild West Saga: Idle Tycoon Clicker,"Developer
Tamasenco","December 18, 2018 ??12:51:23 UTC (about a year ago)",? 68,189,
F1 2017,Store Name F1??2017,"Developer
Codemasters","August 24, 2017 ??23:00:00 UTC (2 years ago)",? 81,196,
Soul at Stake,Store Name ?�魂筹码 Soul at Stake,"Developer
Chongming Studio","June 26, 2018 ??01:59:00 UTC (2 years ago)",? 75,270,
Synergy,Synergy Team,Supported Systems STEAMPLAY,NULL,? 89,183,
龙魂传奇:76复古?�MMO,Store Name Legend of sword and Magic MMO,"Developer
Legend","January 8, 2020 ??01:24:17 UTC (4 days ago)",??47,219,
The Witness,"Thekla, Inc.","Thekla, Inc.","January 26, 2016 ??17:15:00 UTC (4 years ago)",? 81,189,
Car Mechanic Simulator 2015,Red Dot Games,PlayWay S.A.,"April 2, 2015 ??05:41:00 UTC (5 years ago)",? 88,188,
Secret World Legends,Funcom,Funcom,"July 31, 2017 ??17:00:00 UTC (2 years ago)",? 66,182,
Skyforge,Allods Team,MY.GAMES,"April 13, 2017 ??12:30:59 UTC (3 years ago)",? 57,193,
Driftland: The Magic Revival,Star Drifters,Star Drifters,"April 18, 2019 ??15:45:39 UTC (9 months ago)",? 76,195,
Outscape,IDA Games,IDA Games,"October 22, 2019 ??19:30:51 UTC (3 months ago)",??81,181,
Sniper Elite V2,Rebellion,Rebellion,NULL,? 86,178,
Shadow Warrior 2,Flying Wild Hog,Devolver Digital,"October 13, 2016 ??14:53:00 UTC (3 years ago)",? 86,201,
Serious Sam 3: BFE,Croteam,Devolver Digital,"November 22, 2011 ??18:30:00 UTC (8 years ago)",? 87,203,
Christmas Tina -泡沫?�景-,Store Name 泡沫?�景,"Developer
Nekoday","January 3, 2020 ??03:50:49 UTC (9 days ago)",? 89,252,
Half-Life: Opposing Force,Gearbox Software,Valve,"November 1, 1999 ??08:00:00 UTC (20 years ago)",? 91,178,
Outscape,IDA Games,IDA Games,"October 22, 2019 ??19:30:51 UTC (3 months ago)",??81,181,
MorphVOX Pro - Voice Changer,Screaming Bee,Screaming Bee,"February 13, 2014 ??17:23:00 UTC (6 years ago)",??55,203,
LEGO® Harry Potter: Years 5-7,Traveller's Tales,Warner Bros. Interactive Entertainment,NULL,? 81,178,
Cry of Fear,Team Psykskallar,Team Psykskallar,"April 25, 2013 ??17:00:00 UTC (7 years ago)",? 84,177,
Supreme Ruler Ultimate,BattleGoat Studios,BattleGoat Studios,"October 17, 2014 ??17:07:07 UTC (5 years ago)",? 70,182,
F1 2017,Store Name F1??2017,"Developer
Codemasters","August 24, 2017 ??23:00:00 UTC (2 years ago)",? 81,196,
MONMUSU,Tentacle Games,NEKO WORKs,"May 12, 2018 ??00:22:36 UTC (2 years ago)",? 76,191,
Football Manager Touch 2018,Sports Interactive,SEGA,"November 9, 2017 ??23:00:00 UTC (2 years ago)",??59,176,
Synergy,Synergy Team,Supported Systems STEAMPLAY,NULL,? 89,183,
Shadowrun: Hong Kong - Extended Edition,Harebrained Schemes,Paradox Interactive,"August 20, 2015 ??16:59:46 UTC (4 years ago)",? 82,181,
ZULA Latino America,Store Name ZULA LatinoAmerica,"Developer
MadByte","January 12, 2018 ??17:40:17 UTC (2 years ago)",? 66,343,
Tank Force,Extreme Developers,Extreme Developers,"October 23, 2017 ??07:40:14 UTC (2 years ago)",? 60,193,
The Magician's Research,Mad Labyrinth Studios LLC,Mad Labyrinth Studios LLC,"November 20, 2019 ??22:19:25 UTC (2 months ago)",??64,177,
My Friend Pedro,DeadToast Entertainment,Devolver Digital,"June 20, 2019 ??16:10:04 UTC (7 months ago)",? 94,199,
Battle Chasers: Nightwar,Airship Syndicate,THQ Nordic,"October 3, 2017 ??16:55:26 UTC (2 years ago)",? 85,174,
Vampire: The Masquerade - Bloodlines,Troika Games,Activision,NULL,? 91,175,
Toribash,Nabi Studios,"Nicalis, Inc.","May 16, 2014 ??23:42:00 UTC (6 years ago)",? 85,174,
EverQuest II,Daybreak Game Company,Daybreak Game Company,NULL,? 71,205,
OVR Toolkit,Curtis English,Curtis English,"June 28, 2019 ??23:00:42 UTC (7 months ago)",??85,258,
CABAL Online,ESTgames Corp.,ESTsoft Inc.,"February 18, 2016 ??01:20:00 UTC (4 years ago)",? 63,186,
?�女?�旗 Banner of the Maid,Azure Flame Studio,CE-Asia,"May 28, 2019 ??06:01:00 UTC (8 months ago)",? 86,233,
FINAL FANTASY VIII - REMASTERED,Square Enix,Square Enix,"September 3, 2019 ??16:01:10 UTC (4 months ago)",? 53,173,
Epic Battle Fantasy 5,Matt Roszak,Matt Roszak,"November 30, 2018 ??15:57:37 UTC (about a year ago)",? 93,174,
ISLANDERS,GrizzlyGames,GrizzlyGames,"April 4, 2019 ??08:16:01 UTC (9 months ago)",? 92,187,
Farm Manager 2018,Cleversan Software,PlayWay S.A.,"April 6, 2018 ??17:00:00 UTC (2 years ago)",? 65,187,
Kingdom: New Lands,Noio,Raw Fury,"August 9, 2016 ??15:01:00 UTC (3 years ago)",? 83,174,
Judgment: Apocalypse Survival Simulation,Suncrash,Suncrash,"May 3, 2018 ??13:04:00 UTC (2 years ago)",? 78,173,
Darkest Hour: A Hearts of Iron Game,Martin Ivanov,Paradox Interactive,"April 8, 2011 ??23:12:00 UTC (9 years ago)",? 84,182,
Cossacks: Back to War,GSC Game World,GSC World Publishing,NULL,? 84,188,
"Warhammer 40,000: Space Marine",Relic Entertainment,SEGA,NULL,? 88,180,
Hotline Miami,Dennaton Games,Devolver Digital,"October 23, 2012 ??17:03:00 UTC (7 years ago)",? 95,171,
Half-Life: Opposing Force,Gearbox Software,Valve,"November 1, 1999 ??08:00:00 UTC (20 years ago)",? 91,178,
Halo Wars: Definitive Edition,Ensemble Studios,Xbox Game Studios,"April 20, 2017 ??17:04:00 UTC (3 years ago)",? 85,203,
Judgment: Apocalypse Survival Simulation,Suncrash,Suncrash,"May 3, 2018 ??13:04:00 UTC (2 years ago)",? 78,173,
NoLimits 2 Roller Coaster Simulation,Ole Lange,Mad Data GmbH & Co. KG,"August 21, 2014 ??16:18:48 UTC (5 years ago)",? 85,180,
Cossacks: Back to War,GSC Game World,GSC World Publishing,NULL,? 84,188,
Magicka 2,Pieces Interactive,Paradox Interactive,"May 26, 2015 ??15:00:00 UTC (5 years ago)",? 77,170,
"Warhammer 40,000: Inquisitor - Prophecy",NeocoreGames,NeocoreGames,"July 30, 2019 ??17:02:06 UTC (5 months ago)",? 75,169,
Primal Carnage: Extinction,Circle Five Studios,Circle Five Publishing,"April 4, 2015 ??05:46:41 UTC (5 years ago)",? 72,195,
Secret World Legends,Funcom,Funcom,"July 31, 2017 ??17:00:00 UTC (2 years ago)",? 66,182,
Nuclear Throne,Vlambeer,Vlambeer,"December 5, 2015 ??19:00:00 UTC (4 years ago)",? 93,189,
Rogue Legacy,Cellar Door Games,Cellar Door Games,"June 27, 2013 (7 years ago)",? 91,172,
Sakura Clicker,Winged Cloud,Winged Cloud,"July 30, 2015 ??02:15:50 UTC (4 years ago)",? 82,179,
Zombie Army Trilogy,Rebellion,Rebellion,"March 6, 2015 ??09:51:08 UTC (5 years ago)",? 84,168,
Dead Maze,Atelier 801,Atelier 801,"February 13, 2018 ??14:15:36 UTC (2 years ago)",? 70,175,
Trine,Store Name Trine Enchanted Edition,"Developer
Frozenbyte","July 2, 2009 ??07:00:00 UTC (11 years ago)",? 93,210,
Icewind Dale: Enhanced Edition,Beamdog,Beamdog,"October 30, 2014 ??15:05:08 UTC (5 years ago)",? 81,166,
Turmoil,Gamious,Gamious,"June 2, 2016 ??08:31:56 UTC (4 years ago)",? 87,179,
OVR Toolkit,Curtis English,Curtis English,"June 28, 2019 ??23:00:42 UTC (7 months ago)",??85,258,
Risen 2 - Dark Waters,Store Name Risen 2: Dark Waters,"Developer
Piranha Bytes","April 27, 2012 (8 years ago)",? 75,167,
Kingdom: New Lands,Noio,Raw Fury,"August 9, 2016 ??15:01:00 UTC (3 years ago)",? 83,174,
Epic Battle Fantasy 5,Matt Roszak,Matt Roszak,"November 30, 2018 ??15:57:37 UTC (about a year ago)",? 93,174,
Mini Metro,Dinosaur Polo Club,Dinosaur Polo Club,"November 6, 2015 ??17:16:00 UTC (4 years ago)",? 93,176,
iRacing,iRacing.com Motorsport Simulations,iRacing.com Motorsport Simulations,"January 12, 2015 (5 years ago)",? 82,183,
Shadowrun: Hong Kong - Extended Edition,Harebrained Schemes,Paradox Interactive,"August 20, 2015 ??16:59:46 UTC (4 years ago)",? 82,181,
My Friend Pedro,DeadToast Entertainment,Devolver Digital,"June 20, 2019 ??16:10:04 UTC (7 months ago)",? 94,199,
Outlast 2,Red Barrels,Red Barrels,"April 25, 2017 ??03:52:45 UTC (3 years ago)",? 86,203,
911 Operator,Jutsu Games,Games Operators,"February 24, 2017 ??11:00:00 UTC (3 years ago)",? 83,176,
Little Nightmares,Tarsier Studios,BANDAI NAMCO Entertainment,"April 27, 2017 ??22:00:00 UTC (3 years ago)",? 87,163,
SpellForce 3: Soul Harvest,Grimlore Games,THQ Nordic,"May 28, 2019 ??17:08:13 UTC (8 months ago)",? 83,163,
We Were Here,Total Mayhem Games,Total Mayhem Games,"February 3, 2017 ??16:21:00 UTC (3 years ago)",? 90,178,
King's Bounty: Dark Side,1C-SoftClub,1C Entertainment,"August 19, 2014 ??21:51:00 UTC (5 years ago)",? 67,175,
Krita,Krita Team,Krita Team,"June 10, 2014 ??09:48:00 UTC (6 years ago)",? 82,174,
Football Manager 2009,Last Known Name Football Manager??2009,"Developer
Sports Interactive","November 13, 2008 ??08:00:00 UTC (11 years ago)",162,180,
Monster Girl Island: Prologue,Redamz,Redamz,"June 19, 2019 ??22:34:00 UTC (7 months ago)",? 93,169,
Coloring Game 2,L. Stotch,L. Stotch,"January 10, 2020 ??17:59:54 UTC (about 22 hours ago)",??76,169,
GRID Autosport,Codemasters Racing,Codemasters,"June 26, 2014 ??21:41:00 UTC (6 years ago)",? 74,173,
Grand Theft Auto III,Rockstar Games,Rockstar Games,"January 4, 2008 ??17:57:00 UTC (12 years ago)",? 84,167,
Tom Clancy's Splinter Cell Blacklist,Store Name Tom Clancy?�s Splinter Cell Blacklist,"Developer
Ubisoft Toronto","August 20, 2013 (6 years ago)",? 81,164,
Outlast 2,Red Barrels,Red Barrels,"April 25, 2017 ??03:52:45 UTC (3 years ago)",? 86,203,
Monster Girl Island: Prologue,Redamz,Redamz,"June 19, 2019 ??22:34:00 UTC (7 months ago)",? 93,169,
The Guild II: Renaissance,Store Name The Guild II Renaissance,"Developer
Rune Forge","July 28, 2010 ??15:55:00 UTC (9 years ago)",? 77,172,
Sid Meier's Railroads!,Firaxis Games,2K,"May 4, 2007 ??22:01:00 UTC (13 years ago)",? 65,160,
Mini Metro,Dinosaur Polo Club,Dinosaur Polo Club,"November 6, 2015 ??17:16:00 UTC (4 years ago)",? 93,176,
Risen 2 - Dark Waters,Store Name Risen 2: Dark Waters,"Developer
Piranha Bytes","April 27, 2012 (8 years ago)",? 75,167,
We Were Here,Total Mayhem Games,Total Mayhem Games,"February 3, 2017 ??16:21:00 UTC (3 years ago)",? 90,178,
Sea Dogs: To Each His Own,Store Name Sea Dogs: To Each His Own - Pirate Open World RPG,"Developer
BlackMark Studio","December 31, 2012 (7 years ago)",? 73,160,
?�イ?�ツ / Koikatsu Party,Store Name ?�イ?�ツ�?/ Koikatsu Party,"Developer
ILLUSION","June 10, 2019 ??10:02:25 UTC (7 months ago)",? 90,185,
Trainz: A New Era,N3V Games,N3V Games,"May 14, 2015 ??23:00:00 UTC (5 years ago)",? 65,178,
War for the Overworld,Brightrock Games,Brightrock Games,"April 2, 2015 ??16:59:00 UTC (5 years ago)",? 82,158,
King's Bounty: Dark Side,1C-SoftClub,1C Entertainment,"August 19, 2014 ??21:51:00 UTC (5 years ago)",? 67,175,
Synergy,Synergy Team,Supported Systems STEAMPLAY,NULL,? 89,183,
GRID (2019),Store Name GRID,"Developer
Codemasters","October 10, 2019 ??15:00:00 UTC (3 months ago)",? 52,170,
Ultimate Fishing Simulator,Bit Golem,Ultimate Games S.A.,"August 30, 2018 ??14:59:59 UTC (about a year ago)",? 82,194,
Fantasy Grounds,"SmiteWorks USA, LLC","SmiteWorks USA, LLC","May 9, 2014 ??17:59:00 UTC (6 years ago)",? 77,345,
GORN,Free Lives,Devolver Digital,"July 18, 2019 ??13:01:11 UTC (6 months ago)",? 92,195,
Project Highrise,SomaSim,Kasedo Games,"September 8, 2016 ??11:11:00 UTC (3 years ago)",? 79,157,
Session,Store Name Session: Skateboarding Sim Game,"Developer
crea-ture Studios Inc.","September 17, 2019 ??11:58:00 UTC (4 months ago)",? 82,202,
Caesar 3,Store Name Caesar??3,"Developer
Impressions Games","August 29, 2016 ??17:00:00 UTC (3 years ago)",? 83,164,
Fallout,Store Name Fallout: A Post Nuclear Role Playing Game,"Developer
Interplay Inc.","August 19, 2009 ??07:00:00 UTC (10 years ago)",? 89,161,
Virtual Desktop,Guy Godin,Guy Godin,"March 31, 2016 ??14:59:00 UTC (4 years ago)",? 67,185,
The Settlers Online,Blue Byte,Ubisoft,"August 19, 2015 ??13:08:00 UTC (4 years ago)",? 38,169,
Winning Post 9,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","March 28, 2019 ??00:40:49 UTC (10 months ago)",??33,245,
World of Warplanes,Wargaming Group Limited,Wargaming Group Limited,"September 12, 2018 ??10:01:00 UTC (about a year ago)",? 64,164,
Zombie Army Trilogy,Rebellion,Rebellion,"March 6, 2015 ??09:51:08 UTC (5 years ago)",? 84,168,
Virtual Desktop,Guy Godin,Guy Godin,"March 31, 2016 ??14:59:00 UTC (4 years ago)",? 67,185,
Winning Post 9,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","March 28, 2019 ??00:40:49 UTC (10 months ago)",??33,245,
Controller Companion,Koga Tech Limited,Koga Tech Limited,"May 4, 2015 ??20:28:30 UTC (5 years ago)",? 87,163,
VEGAS Pro 14 Edit Steam Edition,MAGIX Software GmbH,MAGIX Software GmbH,"September 30, 2016 ??09:05:00 UTC (3 years ago)",? 77,154,
Tom Clancy's Splinter Cell Blacklist,Store Name Tom Clancy?�s Splinter Cell Blacklist,"Developer
Ubisoft Toronto","August 20, 2013 (6 years ago)",? 81,164,
SpellForce 3: Soul Harvest,Grimlore Games,THQ Nordic,"May 28, 2019 ??17:08:13 UTC (8 months ago)",? 83,163,
Artifact,Valve,Valve,"November 28, 2018 ??21:00:00 UTC (about a year ago)",? 47,199,
Hand of Fate 2,Defiant Development,Defiant Development,"November 7, 2017 ??15:57:03 UTC (2 years ago)",? 83,155,
Book of Demons,Thing Trunk,Thing Trunk,"December 14, 2018 ??17:00:00 UTC (about a year ago)",? 90,163,
Hero Zero,Playata GmbH,European Games Group AG,"July 6, 2016 ??00:29:12 UTC (4 years ago)",? 74,167,
King's Bounty: Dark Side,1C-SoftClub,1C Entertainment,"August 19, 2014 ??21:51:00 UTC (5 years ago)",? 67,175,
Legends of Aria,Citadel Studios Inc,Citadel Studios Inc,"August 6, 2019 ??19:30:00 UTC (5 months ago)",? 58,204,
Franchise Hockey Manager 6,Out of the Park Developments,Out of the Park Developments,"October 11, 2019 ??12:01:40 UTC (3 months ago)",??74,153,
We Were Here,Total Mayhem Games,Total Mayhem Games,"February 3, 2017 ??16:21:00 UTC (3 years ago)",? 90,178,
MadOut2 BigCityOnline,MadOut Games,MadOut Games,"February 22, 2017 ??05:11:00 UTC (3 years ago)",? 73,209,
Railroad Tycoon 2: Platinum,Store Name Railroad Tycoon II Platinum,"Developer
PopTop","May 4, 2007 ??22:01:00 UTC (13 years ago)",? 79,150,
Hotline Miami,Dennaton Games,Devolver Digital,"October 23, 2012 ??17:03:00 UTC (7 years ago)",? 95,171,
We Happy Few,Compulsion Games,Gearbox Publishing,"August 10, 2018 ??15:59:00 UTC (about a year ago)",? 70,149,
Gloomhaven,Flaming Fowl Studios,Asmodee Digital,"July 17, 2019 ??10:15:35 UTC (6 months ago)",? 77,161,
Grand Theft Auto III,Rockstar Games,Rockstar Games,"January 4, 2008 ??17:57:00 UTC (12 years ago)",? 84,167,
Rising World,JIW-Games,JIW-Games,"December 3, 2014 ??18:59:26 UTC (5 years ago)",? 79,155,
Magic Duels,Stainless Games Ltd.,Wizards of the Coast LLC,"July 29, 2015 ??19:21:00 UTC (4 years ago)",? 69,156,
Saints Row 2,Volition,Deep Silver,"January 28, 2009 ??17:00:00 UTC (11 years ago)",? 75,148,
Mount & Blade,TaleWorlds Entertainment,TaleWorlds Entertainment,NULL,? 88,176,
Sonic Mania,Christian Whitehead,SEGA,"August 29, 2017 ??16:00:00 UTC (2 years ago)",? 88,160,
Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,NULL,? 90,147,
Sally Face,Steve Gabry,Portable Moose,"December 14, 2016 ??22:15:06 UTC (3 years ago)",? 92,148,
Unity of Command II,2x2 Games,2x2 Games,"November 12, 2019 ??17:59:33 UTC (2 months ago)",??77,160,
?�世??��,Store Name ?�世传奇,"Developer
?�世传奇","November 19, 2019 ??05:06:21 UTC (2 months ago)",??41,167,
Steel Division: Normandy 44,Eugen Systems,Paradox Interactive,"May 23, 2017 ??16:58:45 UTC (3 years ago)",? 70,153,
"Warhammer 40,000: Dawn of War - Game of the Year Edition","Store Name Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Developer
Relic Entertainment","August 7, 2007 ??07:00:00 UTC (12 years ago)",? 90,154,
Boundless,Wonderstruck,Square Enix,"September 11, 2018 ??16:01:00 UTC (about a year ago)",? 69,154,
ARK: Survival Of The Fittest,Studio Wildcard,Studio Wildcard,"August 29, 2017 ??17:16:00 UTC (2 years ago)",? 59,183,
Scythe: Digital Edition,The Knights of Unity,Asmodee Digital,"September 5, 2018 ??10:00:00 UTC (about a year ago)",? 77,164,
Block N Load,Toadman Interactive,Toadman Interactive,"April 30, 2015 ??21:00:00 UTC (5 years ago)",? 75,167,
Wargroove,Chucklefish,Chucklefish,"February 1, 2019 ??11:59:14 UTC (11 months ago)",? 82,144,
Hand of Fate 2,Defiant Development,Defiant Development,"November 7, 2017 ??15:57:03 UTC (2 years ago)",? 83,155,
Internet Cafe Simulator,Cocopo,Cheesecake,"October 25, 2019 ??17:00:34 UTC (3 months ago)",? 73,194,
Crysis 2 Maximum Edition,Store Name Crysis 2 - Maximum Edition,"Developer
Crytek Studios","March 22, 2011 (9 years ago)",? 80,143,
Supremacy 1914,Bytro Labs GmbH,Bytro Labs GmbH,"July 16, 2019 ??08:05:27 UTC (6 months ago)",??61,193,
Soviet Jump Game,Fantastic Passion,Game Grumps,"January 9, 2020 ??17:09:24 UTC (2 days ago)",??66,307,
LEGO® Batman??3: Beyond Gotham,TT Games Ltd,WB Games,"November 11, 2014 ??18:00:00 UTC (5 years ago)",? 83,161,
Mashinky,Jan Zelený,Jan Zelený,"October 6, 2017 ??14:00:24 UTC (2 years ago)",? 84,150,
King?�s Bounty: Legions,Nival,Nival,"December 10, 2013 ??18:00:00 UTC (6 years ago)",? 51,143,
Mini World: Block Art,"Miniwan Technology Co.,Limited","Miniwan Technology Co.,Limited","April 28, 2018 ??06:33:21 UTC (2 years ago)",? 75,168,
Deponia: The Complete Journey,Daedalic Entertainment,Daedalic Entertainment,"July 8, 2014 ??15:52:00 UTC (6 years ago)",? 84,146,
Osiris: New Dawn,Fenix Fire Entertainment,Reverb Triple XP,"September 28, 2016 ??16:56:39 UTC (3 years ago)",? 65,145,
Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,NULL,? 90,147,
